id;name;price;price_20;price_60;pic;dir;art;date
1;Набор подарочный №2;900;590;520;набор№2_tn.jpg;2;;
2;Набор подарочный №3 Замок;880;620;540;набор№3_tn.jpg;3;;
3;Набор подарочный №4 Кортик большой;1200;840;740;набор№4_tn.jpg;4;;
4;Набор подарочный №5 Ключ большой;690;493;350;набор№05_tn.jpg;5;;
5;Набор подарочный №6 Болты 10 шт;790;470;410;набор№6супаковкой_tn.jpg;6;;
6;Набор подарочный №7 Болты 15 шт;1050;640;570;набор№7супаковкой_tn.jpg;7;;
7;Набор подарочный №8 Плоскогубцы;720;510;450;набор№8_tn.jpg;8;;
8;Набор подарочный №9 Колокольчик;810;560;490;набор№9_tn.jpg;9;;
9;Набор подарочный №10 Гантели;800;550;490;набор№10_tn.jpg;10;;
10;Набор подарочный №11 Подкова;750;535;473;набор№11_tn.jpg;11;;
11;Набор подарочный №12 Ключ разводной;720;510;450;набор№12_tn.jpg;12;;
12;Набор подарочный №14 Подшипник;670;476;350;набор№14_tn.jpg;14;;
13;Набор подарочный №15 Кисть и тюбик;830;570;510;набор№15_tn.jpg;15;;
14;Набор подарочный №16 ДоРеМи;810;560;490;набор№16_tn.jpg;16;;
15;Набор подарочный №17;1800;1275;1075;набор№17_tn.jpg;17;;
16;Набор подарочный №18 Ракушка;900;640;560;набор№18_tn.jpg;18;;
17;Набор подарочный №19 Скорая помощь;1020;590;520;набор№19_tn.jpg;19;;
18;Набор подарочный №20 с пистолетом;2100;1490;1320;набор№20_tn.jpg;20;;
19;Набор подарочный №21 ключи;1050;740;650;набор№21_tn.jpg;21;;
20;Набор подарочный №22 Пистолет с патр.;1250;840;740;набор№22_tn.jpg;22;;
21;Набор подарочный №23 Крупный калибр;950;650;570;набор№23_tn.jpg;23;;
22;Набор подарочный №24 Фляга и пряжка;1200;840;740;набор№24_tn.jpg;24;;
23;Набор подарочный №25;1050;720;640;набор№25_tn.jpg;25;;
24;Набор подарочный №26 Наручники;990;590;520;набор№26_tn.jpg;26;;
25;Набор подарочный №27;1680;1190;1050;набор№27_tn.jpg;27;;
26;Набор подарочный №28 Шестерня и ключ;760;460;400;набор№28_tn.jpg;28;;
27;Набор подарочный №29 Серп и Молот;1180;760;735;набор№29_tn.jpg;29;;
28;Набор подарочный №30 Мечты Поэта;1890;1310;1100;набор№30_tn.jpg;30;;
29;Набор подарочный №31 ТАНК;1150;720;640;набор№31_tn.jpg;31;;
30;Набор подарочный №32 БТР;1150;720;640;набор№32_tn.jpg;32;;
31;Набор подарочный №33;1980;1400;1240;набор№33_tn.jpg;33;;
32;Набор подарочный №34 Рыба моей мечты;810;560;490;набор№34_tn.jpg;34;;
33;Набор подарочный №35 Мастер на все руки;2750;1850;1650;набор№35_tn.jpg;35;;
34;Набор подарочный №36 220 вольт;850;590;530;набор№36_tn.jpg;36;;
35;Набор подарочный №37 Паровоз;1150;720;640;набор№37_tn.jpg;37;;
36;Набор подарочный №39 Машина;810;560;490;набор№39_tn.jpg;39;;
37;Набор подарочный №41 Строительный XL;840;580;530;набор№41_tn.jpg;41;;
38;Набор подарочный №42 Строительный Супер;1380;990;840;набор№42_tn.jpg;42;;
39;Набор подарочный №43 Дорожный;810;560;490;набор№43_tn.jpg;43;;
40;Набор подарочный №47 Автомат Калашникова;6480;4150;3520;набор№47_tn.jpg;47;;
41;Набор подарочный №50 Роза;850;590;530;набор№50_tn.jpg;50;;
42;Набор подарочный №51 Маска;690;493;435;набор№51_tn.jpg;51;;
43;Набор подарочный №52 Клатч LV;1550;1070;940;набор№52_tn.jpg;52;;
44;Набор подарочный №53 Сумочка;1650;1140;1010;набор№53_tn.jpg;53;;
45;Набор подарочный №54 Туфелька;2100;1490;1310;набор№54_tn.jpg;54;;
46;Набор подарочный №55 Белье;1180;840;740;набор№55_tn.jpg;55;;
47;Набор подарочный №56 Тюльпан;870;590;490;набор№56_tn.jpg;56;;
48;Набор подарочный №57 Фаберже;870;590;490;набор№57_tn.jpg;57;;
49;Набор подарочный №58 Сумка "Сова";1550;1070;940;набор№58_tn.jpg;58;;
50;Набор подарочный №99 Золотой запас;810;560;490;набор№99_tn.jpg;99;;