id;size;weight;stock;diameter;height;width;length
1;12*24 см;120;15;;;;
2;12*24 см;180;20;;;;
3;45*10 см;215;10;;;;
4;12*24 см;75;20;;;;
5;14*15 см;165;15;;;;
6;14*15 см;250;15;;;;
7;12*24 см;85;20;;;;
8;21*12 см;150;12;;;;
9;12*24 см;160;20;;;;
10;12*24 см;90;20;;;;
11;12*24 см;170;20;;;;
12;12*24 см;150;20;;;;
13;24*24 см;350;10;;;;
14;14*15 см;210;15;;;;
15;14*24 см;240;15;;;;
16;24*24 см;510;10;;;;
17;12*24 см;155;20;;;;
18;14*24 см;255;15;;;;
19;12*24 см;195;20;;;;
20;12*24 см;255;20;;;;
21;14*24 см;90;20;;;;
22;24*24 см;255;10;;;;
23;12*24 см;95;20;;;;
24;24*24 см;190;10;;;;
25;33*12 см;450;6;;;;
26;12*24 см;220;20;;;;
27;24*24 см;325;10;;;;
28;35*24 см;540;5;;;;
29;12*24 см;260;20;;;;
30;14*15 см;170;15;;;;
31;24*24 см;230;10;;;;
32;12*24 см;140;20;;;;
33;65*32 см;1400;1;;;;
34;12*24 см;100;20;;;;
35;10*21 см;90;9;;;;
36;21*24 см;390;6;;;;
37;21*24 см;410;6;;;;
38;21*24 см;150;6;;;;
39;14*15 см;190;12;;;;
40;12*24 см;190;20;;;;
41;14*15 см;190;15;;;;
42;21*24 см;350;6;;;;
43;;;1;9;5;;
44;;;1;;5;6;11.5
45;;;1;;8;24.5;35
46;;;1;8;13;;
47;;;1;8;14;;
48;;;1;10;17;;
49;;;1;;;14.5;14.5
50;17*13.5 см;;1;;;;
51;;;1;;4;16.5;25
52;;;1;;3;19;27
53;;;1;26;6;;
54;;;1;12;20.5;;
55;;;1;14;22;;
56;;;1;;14;8;13
57;;;1;20;11;;
58;;;1;;7;11;16
59;;;1;;9.5;18;28
60;;;1;;8.5;16;22
61;;;1;;;;
62;;;1;;7;7.5;19.5
63;;;1;;7;6.5;19
64;;;1;;8;8.5;23.5
65;;;1;;8.5;7;18
66;;;1;;6;6;15
67;;;1;;9.5;8.5;22.5
68;;;1;;6;6;15
69;;;1;;8;10;20
70;;;1;;;;21
71;;;1;;8;15;14
72;;;1;;5;13;13
73;;;1;;;2.5;6
74;;;1;;;4;4
75;;;1;;;3;6
76;;;1;;;3;6
77;;;1;23;;;
78;;;1;23;;;
79;;;1;23;;;
80;;;1;19;;;
81;;;1;22;;;
82;;;1;20;;;
83;;;1;15;;;
84;;;1;;;;10
85;;;1;;20;9;10
86;;;1;;16;9;9
87;;;1;;17;9;20
88;;;1;9.5;6;;
89;;;1;10;11;;
90;;;1;26;3;;
91;;;1;26;3;;
92;;;1;;7;20;25
93;;;1;13;8;;
94;;;1;;7.5;12;14.5
95;;;1;13;6.5;;
96;;;1;;8.5;18;18
97;;;1;9;4;;
98;;;1;12;6;;
99;200*200мм;70;1;;;;
100;200*200мм;70;1;;;;
101;75*25мм;70;1;;;;
102;75*25мм;70;1;;;;
103;173*85*40;315;1;;;;
104;173*85*40;315;1;;;;
105;(d57мм, h77мм) * 2шт;;1;;;;
106;(d42мм, h84мм) * 2шт;90;1;;;;
107;(d42мм, h84мм) * 2шт;90;1;;;;
108;40*255*145мм;;1;;;;
109;40*255*145мм;;1;;;;
110;d 210мм;;1;;;;
111;d 210мм;;1;;;;
112;d 210мм;;1;;;;
113;d 110мм * h 45мм;;1;;;;
114;d 110мм * h 45мм;;1;;;;
115;113*100*53мм;;1;;;;
116;d 105мм * h 43мм;;1;;;;
117;d 100мм * h 50мм;54;1;;;;
118;d 110мм * h 45мм;;1;;;;
119;95*95мм;16;1;;;;
120;95*95мм;16;1;;;;
121;95*95мм;16;1;;;;
122;;;1;;;;
123;158*46мм;;1;;;;
124;216*60мм;68;1;;;;
125;d 85мм * h 125мм;;1;;;;
126;d 100мм * h 125мм;;1;;;;
127;d 100мм * h 125мм;;1;;;;
128;;;1;8.5;;;
129;;;1;;;;
130;;;1;;;;
131;;;1;;;;
132;;;1;;;4.5;19
133;;;1;;;6;22
134;;;1;;;;
135;;;1;;;;
136;35*25.5см, h16см;;1;;;;
137;35*25.5см, h16см;;1;;;;
138;35*25.5см, h16см;;1;;;;
139;35*25.5см, h16см;;1;;;;
140;35*25.5см, h16см;;1;;;;
141;35*25.5см, h16см;;1;;;;
142;35*25.5см, h16см;;1;;;;
143;35*25.5см, h16см;;1;;;;
144;35*25.5см, h16см;;1;;;;
145;35*25.5см, h16см;;1;;;;
146;35*25.5см, h16см;;1;;;;
147;35*25.5см, h16см;;1;;;;
148;32*21см, h12см;;1;;;;
149;32*21см, h12см;;1;;;;
150;32*21см, h12см;;1;;;;
151;32*22см, h11.5см;;1;;;;
152;32*22см, h11.5см;;1;;;;
153;32*22см, h11.5см;;1;;;;
154;29.5*18.5см, h18.3см;;1;;;;
155;32*21см, h12см;;1;;;;
156;32*21см, h12см;;1;;;;
157;26*23см, h15см;;1;;;;
158;d10см*h5см;;1;;;;
159;d10см*h5см;;1;;;;
160;12*10см, h6см;;1;;;;
161;11.5*8.5см, h6см;;1;;;;
162;10*8см, h5см;;1;;;;
163;12*8см, h5.8см;;1;;;;
164;11*9.3см, h5.3см;;1;;;;
165;d9.7см*h5.2см;;1;;;;
166;d9.7см*h5.2см;;1;;;;
167;d9.8см*h5.2см;;1;;;;
168;11.3*10см, h5.3см;;1;;;;
169;11.3*9.3см, h5.3см;;1;;;;
170;26*18.5см, h15 см;;1;;;;
171;24*17см, h13 см;;1;;;;
172;26*20см, h14 см;;1;;;;
173;27*17см, h11.3 см;;1;;;;
174;27*17см, h11.3 см;;1;;;;
175;d19.5см;;1;;;;
176;d19.5см;;1;;;;
177;d19.5см;;1;;;;
178;d19.5см;;1;;;;
179;25.5*14.5см, h4см;;1;;;;
180;25.5*14.5см, h4см;;1;;;;
181;25.5*14.5см, h4см;;1;;;;
182;d21.5см;;1;;;;
183;d22см;;1;;;;
184;d22см;;1;;;;
185;d22см;;1;;;;
186;d22см;;1;;;;
187;d21.5см;;1;;;;
188;d21.5см;;1;;;;
189;d21.5см;;1;;;;
190;d21.5см;;1;;;;
191;d21.5см;;1;;;;
192;d8см*h12см;;1;;;;
193;d8см*h12.5см;;1;;;;
194;d8см*h12см;;1;;;;
195;d8.5см*h11.8см;;1;;;;
196;d8см*h12.5см;;1;;;;
197;d11см*h14см;;1;;;;
198;d9.5см*h16см;;1;;;;
199;d5.5см*h7см;;1;;;;
200;d8.5см*h10.5см;;1;;;;
201;d8см;;1;;;;
202;d8см;;1;;;;
203;d9см;;1;;;;
204;d9см;;1;;;;
205;9*9см;;1;;;;
206;9*9см;;1;;;;
207;d8см;;1;;;;
208;d8см;;1;;;;
209;d8см;;1;;;;
210;d8см;;1;;;;
211;;;1;;;;
212;;;1;;;;
213;;;1;;;;
214;;;1;;;;